customerid,name,accountnumber,accounttype,balance,currency,phonenumber,email,address,city,country,datetime
68d8e207-b35b-4c37-9c58-8c9a63b6f617,Thomas Shaw,783948566,Checking,36143.0,SAR,256-263-3009,amorales@example.com,0494 Crystal Ridges,South Joshua,Kuwait,2024-07-22 13:05:29.044746
456591c8-0c07-49d8-9c92-d25ec687ff20,Erica Hernandez,180541086,Checking,31705.0,SOS,773-724-5082x61642,vbrown@example.com,3336 Hernandez Mills Suite 813,South Bradside,Burundi,2024-07-22 13:05:29.045751
437d6935-98d9-43a5-9e86-882b57d5918e,Brenda Diaz,354957174,Savings,66823.0,XDR,561-445-4380,youngann@example.net,929 Marshall Vista Suite 332,New Terri,Bulgaria,2024-07-22 13:05:29.045947
e34075da-944d-449f-a5e1-73c9900b76ff,Lisa Rowe,810857950,Savings,85946.0,DKK,001-932-389-6319x0832,brettmartin@example.com,0587 King Avenue Apt. 413,New Wendyborough,Luxembourg,2024-07-22 13:05:29.046904
d7f7e7b4-3f19-4eb8-8b43-ed2dc197f19e,Paul Hernandez,107021199,Checking,419.0,ZAR,698-535-1185x5048,david61@example.net,8750 Turner Forges,Edwinhaven,Timor-Leste,2024-07-22 13:05:29.048904
008281f0-351f-4d92-9f51-0f6140fe029f,Christina Cook,826038135,Checking,97942.0,KHR,+1-276-281-7521x4758,ljackson@example.org,8379 Gary Summit Suite 721,Goodmanberg,Cameroon,2024-07-22 13:05:29.049125
b119d82f-a04c-4f9f-b816-0bacf680240a,Lori Moon,822543581,Savings,67667.0,PKR,804.217.7224x588,aguilarjoanna@example.net,1525 Matthew Estates Apt. 961,Alvaradoburgh,United Kingdom,2024-07-22 13:05:29.049902
bdf29438-3878-4c80-a3fe-812f98c40272,Todd Preston,937438371,Savings,55154.0,SZL,+1-526-681-4163x62969,briannaherrera@example.net,615 Hall Manors,Christopherland,Guam,2024-07-22 13:05:29.050936
209eecb9-99a2-4a8f-9f2d-62dfd622cfae,Andrea Hayden,751383750,Savings,68170.0,GIP,(732)880-2313,byrdchristopher@example.net,01615 Brandy Pass,Sullivanmouth,Faroe Islands,2024-07-22 13:05:29.051930
d1181321-81f5-40d2-b1c6-88d4cf26ebfd,Marvin Warner,32085732,Checking,51889.0,GYD,+1-361-837-5075,howardalicia@example.net,34873 Juarez Flats,Amytown,Norfolk Island,2024-07-22 13:05:29.052930
609ad9fb-147a-424f-bed5-94f2f3f38fb6,Stephanie Flores,183349188,Checking,12321.0,ZAR,+1-325-497-4125x135,watsonchristina@example.com,69585 Carl Greens Suite 416,Port Josephport,French Southern Territories,2024-07-22 13:05:29.053225
7c7d9ca0-1b3f-47db-92c8-81e4a791c983,Ellen Mitchell,296911145,Checking,5815.0,ILS,8029006735,xchase@example.com,785 Courtney Circle Apt. 025,Danielville,Burkina Faso,2024-07-22 13:05:29.053938
11a94597-54a4-471a-853f-735a60aff5f2,Eric Simpson,274627279,Savings,33973.0,CAD,+1-298-311-3050x0919,cassandra93@example.com,09034 Diaz Camp Suite 311,South Mauriceton,Somalia,2024-07-22 13:05:29.054963
42667346-ffc2-4af0-8008-15e34fce394a,Vickie Banks,223573084,Savings,49257.0,TVD,+1-918-503-0147x501,courtney65@example.net,47442 Mills Road,Hunterport,Saint Pierre and Miquelon,2024-07-22 13:05:29.054963
e0cc8a98-1547-4d22-84ff-b87c60156c01,Kathy Fernandez,246696174,Checking,83796.0,YER,001-948-531-2809,christina83@example.org,9080 Myers Valleys Suite 257,Port Jasonside,Isle of Man,2024-07-22 13:05:29.055930
d1d98898-660d-4b1c-bdcb-22c18181d960,Christina Wilcox MD,183542448,Checking,16305.0,BAM,001-662-541-7658x593,christopher63@example.org,90484 Andrew Via,New Jason,China,2024-07-22 13:05:29.056904
13540a04-21db-4311-bd2c-279fe4216b2e,Michele Flores,261867479,Checking,32326.0,HTG,(382)684-8677,johnmunoz@example.net,20895 Hall Ports Suite 642,Lake Alexander,Bolivia,2024-07-22 13:05:29.057937
3977995a-1bfb-48de-9447-2c2e13dc0fac,John Gonzalez,993036216,Checking,69075.0,PLN,358-221-3606x10850,ebowers@example.org,2888 Shelby Brook Apt. 043,New Thomas,Samoa,2024-07-22 13:05:29.058941
bf41048f-d686-4fc6-84ac-49d74054dccd,Justin Thompson,837471557,Savings,76614.0,LAK,345-262-3497x1363,sheila39@example.com,4271 Sullivan Burg,Lake William,Ghana,2024-07-22 13:05:29.058941
03552012-18d6-4393-b89e-2c4f72990983,Miguel Cruz,881987807,Savings,86851.0,PGK,776.393.2863x0701,christopherrubio@example.com,605 Butler Villages Suite 018,Lake Michael,Kuwait,2024-07-22 13:05:29.059937
b5c8d6d0-7a64-4197-ba0e-192914ef0f41,Edward Henderson,813741291,Checking,30842.0,QAR,(954)588-8689x338,ecarlson@example.net,24892 Amber Track,Jeanetteshire,Saint Kitts and Nevis,2024-07-22 13:05:29.060904
1c1e6267-3fa8-4d1d-a525-88e47f69993c,Clarence Martin,962634183,Checking,80976.0,FKP,(911)864-7738x566,matthewclark@example.com,6452 Julia Street,East Thomaston,France,2024-07-22 13:05:29.061937
7634a0d1-e2c7-4ce0-97ac-49708439901c,Lisa Morris,506676452,Checking,85734.0,TRY,957-516-6525,christophermartin@example.org,8548 Hoover Dale,East Brian,Yemen,2024-07-22 13:05:29.062944
316cdec4-36bb-4e94-8e25-badf280156a6,Jeffrey Carroll,722982577,Checking,23958.0,BSD,603.986.5680x796,katherineflores@example.com,03801 Wells Summit Suite 996,North Maryshire,Saint Barthelemy,2024-07-22 13:05:29.062944
c16d7a94-c971-49de-ba27-9948f16de2bd,Anita Griffin,47763048,Checking,88188.0,RON,707-880-4227,david07@example.com,0195 Adams Highway Suite 777,Port Robinchester,Greenland,2024-07-22 13:05:29.063938
85dea43e-b663-40c2-b191-7fb27e50f6cc,Sophia Reynolds,744363996,Savings,61590.0,USD,903.405.0921x00530,christine60@example.org,7946 Manning Coves,Edwardton,Kuwait,2024-07-22 13:05:29.064944
f249eb71-8b2d-4876-bee6-7c5280c0059c,James Rodriguez,61997949,Savings,16701.0,MKD,001-917-708-3006x58420,kelleymarcus@example.net,193 Peter Meadow,West Luisfort,Canada,2024-07-22 13:05:29.065941
576ee25e-4cad-4b32-a2e1-f313972d60ac,Mark Guerrero,237037821,Savings,38057.0,RON,3933540837,teresa09@example.net,9882 Taylor Ports Suite 855,Randyton,Saint Pierre and Miquelon,2024-07-22 13:05:29.066193
a1a8ebd5-cf19-4756-bd83-dabac3da955a,Maria Price MD,635890391,Checking,1501.0,CVE,+1-809-730-0504x4764,hallalexandria@example.net,4508 Scott Pines,Michaelbury,United States Minor Outlying Islands,2024-07-22 13:05:29.066958
8e73a836-c4af-41c8-884c-5ed4af147bb8,David Harris,711515580,Savings,56147.0,MMK,569.693.9171,lonnieedwards@example.net,339 Nathaniel Islands,North Donna,Vanuatu,2024-07-22 13:05:29.067944
3de4ab07-9ec3-45d3-895e-279651150018,Benjamin Murphy,702293346,Checking,19049.0,LAK,236-579-0403x158,sarahcalderon@example.com,322 Ryan Mount,South Davidstad,Vanuatu,2024-07-22 13:05:29.068937
06bc4958-ca23-44e4-934a-45a4c2c93d71,Daniel Irwin,313373230,Savings,11939.0,NAD,437.371.0070x98445,powelljohn@example.net,616 Marilyn Forest,Matthewbury,Isle of Man,2024-07-22 13:05:29.068937
64aa8dda-c3ec-40ff-8b23-e5874b3777a8,James White,605145229,Savings,58527.0,ISK,429-375-4243x6521,nathaniel61@example.net,9400 Christopher Fall Apt. 411,Haroldfort,Dominica,2024-07-22 13:05:29.069939
e5f40c65-c6e8-4a9e-a1e3-b9d107a100fb,Ashley Baker,524242331,Savings,8783.0,ERN,(437)804-2568,youngjulie@example.com,81291 James Garden,New Matthewton,Netherlands Antilles,2024-07-22 13:05:29.070903
d4ad8633-d85d-40b5-a3d7-848d545347d2,Ellen George,706703302,Savings,89082.0,ANG,625.953.6885x66047,stephen10@example.net,7924 Young Way,Port Brianna,Mongolia,2024-07-22 13:05:29.071937
